,gene_name
496,YALI0C23617g
497,YALI0F16896g
498,YALI0A02244g
499,YALI0F12925g
500,YALI0A19228g
501,YALI0D16643g
502,YALI0C18535g
503,YALI0E22979g
504,YALI0C04180g
505,YALI0F23573g
506,YALI0F09559g
507,YALI0B02376g
508,YALI0E28153g
509,YALI0A15125g
510,YALI0E23859g
511,YALI0E31064g
512,YALI0D08382g
513,YALI0C05753g
514,YALI0F23023g
515,YALI0B17930g
516,YALI0D25476g
517,YALI0F06842g
518,YALI0F19712g
519,YALI0A10659g
520,YALI0F20790g
521,YALI0C16995g
522,YALI0C06996g
523,YALI0D23331g
524,YALI0F21010g
525,YALI0E33033g
526,YALI0F30019g
527,YALI0F05192g
528,YALI0B09625g
529,YALI0E05027g
530,YALI0D15620g
531,YALI0F25047g
532,YALI0E32351g
533,YALI0B00836g
534,YALI0B13552g
535,YALI0D06798g
536,YALI0E28237g
537,YALI0D19426g
538,YALI0B13420g
539,YALI0A08668g
540,YALI0D10131g
541,YALI0B01826g
542,YALI0A12045g
543,YALI0C01111g
544,YALI0D27170g
545,YALI0E17479g
546,YALI0D17930g
547,YALI0C06952g
548,YALI0B08184g
549,YALI0F08701g
550,YALI0E21197g
551,YALI0F12639g
552,YALI0B08404g
553,YALI0C06171g
554,YALI0A15147g
555,YALI0E19921g
556,YALI0F25003g
557,YALI0D01738g
558,YALI0F08129g
559,YALI0E10307g
560,YALI0F15345g
561,YALI0C03179g
562,YALI0B05918g
563,YALI0F02629g
564,YALI0C20405g
565,YALI0C05258g
566,YALI0F17644g
567,YALI0C22088g
568,YALI0B11154g
569,YALI0B17336g
570,YALI0B07667g
571,YALI0E33143g
572,YALI0E04763g
573,YALI0A07447g
574,YALI0C04477g
575,YALI0F07062g
576,YALI0D17974g
577,YALI0E10483g
578,YALI0D20834g
579,YALI0B17776g
580,YALI0F03751g
581,YALI0F24893g
582,YALI0F26191g
583,YALI0A14784g
584,YALI0D11374g
585,YALI0E29667g
586,YALI0D23397g
587,YALI0E34672g
588,YALI0C00253g
589,YALI0C09636g
590,YALI0F15587g
591,YALI0E24497g
592,YALI0A10032g
593,YALI0A21417g
594,YALI0B19360g
595,YALI0F11231g
596,YALI0A09427g
597,YALI0C23408g
598,YALI0A09768g
599,YALI0E21351g
600,YALI0D27126g
601,YALI0B01364g
602,YALI0D15598g
603,YALI0F26455g
604,YALI0C18425g
605,YALI0B08943g
606,YALI0E20977g
607,YALI0C15224g
608,YALI0E29139g
609,YALI0E03146g
610,YALI0E26829g
611,YALI0F06710g
612,YALI0A01133g
613,YALI0F09449g
614,YALI0C01716g
615,YALI0E20625g
616,YALI0F31273g
617,YALI0B04202g
618,YALI0F20218g
619,YALI0F10923g
620,YALI0F18216g
621,YALI0D25234g
622,YALI0C12749g
623,YALI0D17534g
624,YALI0F10010g
625,YALI0E15400g
626,YALI0A17875g
627,YALI0E25982g
628,YALI0B14014g
629,YALI0F01320g
630,YALI0E16775g
631,YALIB02544g
632,YALI0C20265g
633,YALI0A20350g
634,YALI0B14465g
635,YALI0B00572g
636,YALI0B07117g
637,YALI0A10310g
638,YALI00F26587g
639,YALI0B12078g
640,YALI0F23947g
641,YALI0F05038g
642,YALI0D23815g
643,YALI0D08690g
644,YALI0E12573g
645,YALI0B14619g
646,McCarRP
